"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"2267",336.759909347018,-308.390573119521,981.910391813558,-649.91260874687,1323.43242744091
"2268",336.759909347018,-308.391215402452,981.911034096489,-649.913591033847,1323.43340972788
"2269",336.759909347018,-308.391857684744,981.911676378781,-649.914573319846,1323.43439201388
"2270",336.759909347018,-308.392499966396,981.912318660433,-649.915555604867,1323.4353742989
"2271",336.759909347018,-308.39314224741,981.912960941446,-649.916537888911,1323.43635658295
"2272",336.759909347018,-308.393784527783,981.91360322182,-649.917520171976,1323.43733886601
"2273",336.759909347018,-308.394426807517,981.914245501554,-649.918502454064,1323.4383211481
"2274",336.759909347018,-308.395069086612,981.914887780649,-649.919484735173,1323.43930342921
"2275",336.759909347018,-308.395711365067,981.915530059104,-649.920467015305,1323.44028570934
"2276",336.759909347018,-308.396353642883,981.91617233692,-649.921449294459,1323.4412679885
"2277",336.759909347018,-308.39699592006,981.916814614097,-649.922431572635,1323.44225026667
"2278",336.759909347018,-308.397638196597,981.917456890634,-649.923413849833,1323.44323254387
"2279",336.759909347018,-308.398280472495,981.918099166532,-649.924396126053,1323.44421482009
"2280",336.759909347018,-308.398922747753,981.91874144179,-649.925378401295,1323.44519709533
"2281",336.759909347018,-308.399565022372,981.919383716409,-649.926360675559,1323.4461793696
"2282",336.759909347018,-308.400207296351,981.920025990388,-649.927342948846,1323.44716164288
"2283",336.759909347018,-308.400849569692,981.920668263729,-649.928325221154,1323.44814391519
"2284",336.759909347018,-308.401491842392,981.921310536429,-649.929307492485,1323.44912618652
"2285",336.759909347018,-308.402134114454,981.921952808491,-649.930289762838,1323.45010845687
"2286",336.759909347018,-308.402776385875,981.922595079912,-649.931272032213,1323.45109072625
"2287",336.759909347018,-308.403418656658,981.923237350695,-649.93225430061,1323.45207299465
"2288",336.759909347018,-308.404060926801,981.923879620838,-649.933236568029,1323.45305526207
"2289",336.759909347018,-308.404703196305,981.924521890342,-649.93421883447,1323.45403752851
"2290",336.759909347018,-308.405345465169,981.925164159206,-649.935201099934,1323.45501979397
"2291",336.759909347018,-308.405987733394,981.925806427431,-649.936183364419,1323.45600205846
"2292",336.759909347018,-308.40663000098,981.926448695017,-649.937165627927,1323.45698432196
"2293",336.759909347018,-308.407272267926,981.927090961963,-649.938147890457,1323.45796658449
"2294",336.759909347018,-308.407914534233,981.92773322827,-649.939130152009,1323.45894884605
"2295",336.759909347018,-308.4085567999,981.928375493937,-649.940112412583,1323.45993110662
"2296",336.759909347018,-308.409199064928,981.929017758965,-649.94109467218,1323.46091336622
